sample,library,date,fastq_R1,notes
RSV-F-LibB-250530-TIM1-VSV-concat,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-VSV-TIM1-1_S22_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-VSV-TIM1-2_S23_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-VSV-TIM1-3_S24_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-TIM1-func-concat,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Func1_S19_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Func2_S20_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Func3_S21_L001_R1_001.fastq.gz,
RSV-F-LibB-250526-Cles-1,RSV-F-LibB,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-TIM1-Cles1_S16_L001_R1_001.fastq.gz,
RSV-F-LibB-250526-Cles-2,RSV-F-LibB,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-TIM1-Cles2_S17_L001_R1_001.fastq.gz,
RSV-F-LibB-250526-Cles-3,RSV-F-LibB,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-TIM1-Cles3_S18_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-Nir-1,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Nir1_S25_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-Nir-2,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Nir2_S26_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-Nir-3,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Nir3_S27_L001_R1_001.fastq.gz,
RSV-F-LibA-250611-NoAntibody,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-NoAb_S1_R1_001.fastq.gz,
RSV-F-LibB-250611-NoAntibody,RSV-F-LibB,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibB-250611-RSVF-NoAb_S2_R1_001.fastq.gz,
RSV-F-LibA-250611-Cles-1,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Cles-1_S3_R1_001.fastq.gz,
RSV-F-LibA-250611-Cles-2,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Cles-2_S4_R1_001.fastq.gz,
RSV-F-LibA-250611-Cles-3,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Cles-3_S5_R1_001.fastq.gz,
RSV-F-LibB-250611-Cles-1,RSV-F-LibB,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibB-250611-RSVF-Cles-1_S21_R1_001.fastq.gz,
RSV-F-LibB-250611-Cles-2,RSV-F-LibB,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibB-250611-RSVF-Cles-2_S20_R1_001.fastq.gz,
RSV-F-LibB-250611-Cles-3,RSV-F-LibB,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibB-250611-RSVF-Cles-3_S19_R1_001.fastq.gz,
RSV-F-LibA-250611-MPE8-1,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-MPE8-1_S16_R1_001.fastq.gz,
RSV-F-LibA-250611-MPE8-2,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-MPE8-2_S17_R1_001.fastq.gz,
RSV-F-LibA-250611-MPE8-3,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-MPE8-3_S18_R1_001.fastq.gz,
RSV-F-LibA-250611-Pal-1,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Pal-1_S6_R1_001.fastq.gz,
RSV-F-LibA-250611-Pal-2,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Pal-2_S7_R1_001.fastq.gz,
RSV-F-LibA-250611-Pal-3,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Pal-3_S8_R1_001.fastq.gz,
RSV-F-LibA-250611-Pal-4,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Pal-4_S9_R1_001.fastq.gz,
RSV-F-LibA-250611-RSM01-1,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-RSM01-1_S10_R1_001.fastq.gz,
RSV-F-LibA-250611-RSM01-2,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-RSM01-2_S11_R1_001.fastq.gz,
RSV-F-LibA-250611-RSM01-3,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-RSM01-3_S12_R1_001.fastq.gz,
RSV-F-LibA-250611-Suptav-1,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Suptav-1_S13_R1_001.fastq.gz,
RSV-F-LibA-250611-Suptav-2,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Suptav-2_S14_R1_001.fastq.gz,
RSV-F-LibA-250611-Suptav-3,RSV-F-LibA,20250611,/shared/ngs/illumina/cabel/250617_VH01189_383_AACTYHCHV/Unaligned/Project_cabel/LibA-250611-RSVF-Suptav-3_S15_R1_001.fastq.gz,
RSV-F-LibA-250619-Cles-1,RSV-F-LibA,20250619,/shared/ngs/illumina/cabel/20250623_LH00740_0097_A233MHMLT3/Unaligned/CS_Lib_250619/LibA-250619-RSVF-Cles-1_S161_L005_R1_001.fastq.gz,
RSV-F-LibA-250619-Cles-2,RSV-F-LibA,20250619,/shared/ngs/illumina/cabel/20250623_LH00740_0097_A233MHMLT3/Unaligned/CS_Lib_250619/LibA-250619-RSVF-Cles-2_S162_L005_R1_001.fastq.gz,
RSV-F-LibA-250619-Cles-3,RSV-F-LibA,20250619,/shared/ngs/illumina/cabel/20250623_LH00740_0097_A233MHMLT3/Unaligned/CS_Lib_250619/LibA-250619-RSVF-Cles-3_S163_L005_R1_001.fastq.gz,
RSV-F-LibA-250619-Cles-4,RSV-F-LibA,20250619,/shared/ngs/illumina/cabel/20250623_LH00740_0097_A233MHMLT3/Unaligned/CS_Lib_250619/LibA-250619-RSVF-Cles-4_S164_L005_R1_001.fastq.gz,
RSV-F-LibA-250619-NoAntibody,RSV-F-LibA,20250619,/shared/ngs/illumina/cabel/20250623_LH00740_0097_A233MHMLT3/Unaligned/CS_Lib_250619/LibA-250619-RSVF-NoAb_S160_L005_R1_001.fastq.gz,
RSV-F-LibB-250709-Cles-1,RSV-F-LibB,20250709,/shared/ngs/illumina/cabel/250715_VH00699_574_AAH2W3VM5/Unaligned/Project_cabel/LibB-250709-RSVF-Cles1_S2_R1_001.fastq.gz,
RSV-F-LibB-250709-Cles-2,RSV-F-LibB,20250709,/shared/ngs/illumina/cabel/250715_VH00699_574_AAH2W3VM5/Unaligned/Project_cabel/LibB-250709-RSVF-Cles2_S3_R1_001.fastq.gz,
RSV-F-LibB-250709-Cles-3,RSV-F-LibB,20250709,/shared/ngs/illumina/cabel/250715_VH00699_574_AAH2W3VM5/Unaligned/Project_cabel/LibB-250709-RSVF-Cles3_S4_R1_001.fastq.gz,
RSV-F-LibB-250709-Cles-4,RSV-F-LibB,20250709,/shared/ngs/illumina/cabel/250715_VH00699_574_AAH2W3VM5/Unaligned/Project_cabel/LibB-250709-RSVF-Cles4_S5_R1_001.fastq.gz,
RSV-F-LibB-250709-NoAntibody,RSV-F-LibB,20250709,/shared/ngs/illumina/cabel/250715_VH00699_574_AAH2W3VM5/Unaligned/Project_cabel/LibB-250709-RSVF-NoAb_S1_R1_001.fastq.gz,
RSV-F-LibB-250716-NoAntibody,RSV-F-LibB,20250716,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250716-NoAb_S6_R1_001.fastq.gz,
RSV-F-LibB-250716-Pal-1,RSV-F-LibB,20250716,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250716-Pal-1_S3_R1_001.fastq.gz,
RSV-F-LibB-250716-Pal-2,RSV-F-LibB,20250716,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250716-Pal-2_S4_R1_001.fastq.gz,
RSV-F-LibB-250716-Pal-3,RSV-F-LibB,20250716,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250716-Pal-3_S5_R1_001.fastq.gz,
