,serum,virus,replicate,nreplicates,ic10,ic10_bound,ic10_str,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic95,ic95_bound,ic95_str,ic97,ic97_bound,ic97_str,ic98,ic98_bound,ic98_str,ic99,ic99_bound,ic99_str,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
10,Nirsevimab Fab,RSV A Long,average,2,0.00128,upper,<0.00128,0.01336340297245124,interpolated,0.0134,0.18765159645688387,interpolated,0.188,0.46085336799201393,interpolated,0.461,0.8733860283636228,interpolated,0.873,1.439807688063304,interpolated,1.44,3.354144479994562,interpolated,3.35,0.01336340297245124,0.01336340297245124,interpolated,0.8316308497555327,1.0,0.0,0.9802585475436966,0.04291764965631956
11,Nirsevimab Fab,RSV B B1,average,2,0.12817841168971822,interpolated,0.128,2.1187671980727956,interpolated,2.12,35.02285900137536,interpolated,35,90.91812401090294,interpolated,90.9,179.23934638485002,interpolated,179,304.7427970007767,interpolated,305,500.0,lower,>500,2.1187671980727956,2.1187671980727956,interpolated,0.7832777610476134,1.0,0.0,0.99728698370148,0.020911053078794206
12,1A2 IgG,RSV A Long,average,2,0.0004948655034777617,interpolated,0.000495,0.002270880914708309,interpolated,0.00227,0.01042081149836743,interpolated,0.0104,0.017495629672210338,interpolated,0.0175,0.02529542872260573,interpolated,0.0253,0.03374730263529357,interpolated,0.0337,0.05495938784404374,interpolated,0.055,0.002270880914708309,0.002270880914708309,interpolated,1.4420918175738078,1.0,0.0,0.9513253091129037,0.09549044419721782
13,1A2 IgG,RSV B B1,average,2,0.0002667354796458328,interpolated,0.000267,0.002311710736097582,interpolated,0.00231,0.020034854510110583,interpolated,0.02,0.04175645021091603,interpolated,0.0418,0.07041328870812995,interpolated,0.0704,0.10594957717329548,interpolated,0.106,0.21149115274195562,interpolated,0.211,0.002311710736097582,0.002311710736097582,interpolated,1.0174758854446715,1.0,0.0,0.9874001617957565,0.04648897244171693
14,1A2 Fab,RSV A Long,average,2,0.00013377896576151924,interpolated,0.000134,0.0010539661926949639,interpolated,0.00105,0.008303582921429983,interpolated,0.0083,0.016754027165271208,interpolated,0.0168,0.027607648259057076,interpolated,0.0276,0.04079795398567181,interpolated,0.0408,0.07899059562370715,interpolated,0.079,0.0010539661926949639,0.0010539661926949639,interpolated,1.064481434776726,1.0,0.0,0.9927962301681014,0.030020204477559834
15,1A2 Fab,RSV B B1,average,2,0.00035181004328482834,interpolated,0.000352,0.002089333762357105,interpolated,0.00209,0.01240816074995079,interpolated,0.0124,0.02274159512338547,interpolated,0.0227,0.03499709972242669,interpolated,0.035,0.04902508811431589,interpolated,0.049,0.08670983122903883,interpolated,0.0867,0.002089333762357105,0.002089333762357105,interpolated,1.2333501569184626,1.0,0.0,0.9808209835423418,0.06021176501362262
16,RSM01 IgG,RSV A Long,average,2,0.00438279851726358,interpolated,0.00438,0.013148395551790745,interpolated,0.0131,0.03944518665537225,interpolated,0.0394,0.05731252747995556,interpolated,0.0573,0.0747649419667534,interpolated,0.0748,0.09203876886253522,interpolated,0.092,0.13082488392140357,interpolated,0.131,0.013148395551790745,0.013148395551790745,interpolated,1.9999999999999998,1.0,0.0,0.9364750022896084,0.1335516648627739
17,RSM01 IgG,RSV B B1,average,2,0.02071553187752849,interpolated,0.0207,0.0621465956325855,interpolated,0.0621,0.18643978689775653,interpolated,0.186,0.27089073004752634,interpolated,0.271,0.3533805016436953,interpolated,0.353,0.43502616942809846,interpolated,0.435,0.6183508191336772,interpolated,0.618,0.0621465956325855,0.0621465956325855,interpolated,1.9999999999999996,1.0,0.0,0.9657609383260238,0.09363701955248577
18,RSM01 Fab,RSV A Long,average,2,0.005025705662547698,interpolated,0.00503,0.030994307240343674,interpolated,0.031,0.1911467057189012,interpolated,0.191,0.3548562907850259,interpolated,0.355,0.5510974098394955,interpolated,0.551,0.7775258659944017,interpolated,0.778,1.3919046882717026,interpolated,1.39,0.030994307240343674,0.030994307240343674,interpolated,1.207772138077694,1.0,0.0,0.9885241947197588,0.04057211785915115
19,RSM01 Fab,RSV B B1,average,2,0.2175987098325375,interpolated,0.218,0.6527961294976128,interpolated,0.653,1.958388388492839,interpolated,1.96,2.8454723592145847,interpolated,2.85,3.7119559223606635,interpolated,3.71,4.569572906483289,interpolated,4.57,6.495239478419511,interpolated,6.5,0.6527961294976128,0.6527961294976128,interpolated,1.9999999999999998,1.0,0.0,0.8768974817840253,0.20477697416009438
