serum,virus,replicate,concentration (nM),fraction infectivity,date
1B6 Fab,RSV A Long,1,20,0.000342827,2026.05.02
1B6 Fab,RSV A Long,1,4,0.006776668,2026.05.02
1B6 Fab,RSV A Long,1,0.8,0.287125591,2026.05.02
1B6 Fab,RSV A Long,1,0.16,0.884498161,2026.05.02
1B6 Fab,RSV A Long,1,0.032,0.866001051,2026.05.02
1B6 Fab,RSV A Long,1,0.0064,1.027430373,2026.05.02
1B6 Fab,RSV A Long,1,0.00128,1.00262743,2026.05.02
1B6 Fab,RSV A Long,2,500,0.000131582,2026.05.02
1B6 Fab,RSV A Long,2,100,0.000127798,2026.05.02
1B6 Fab,RSV A Long,2,20,0.000410468,2026.05.02
1B6 Fab,RSV A Long,2,4,0.020283762,2026.05.02
1B6 Fab,RSV A Long,2,0.8,0.290362585,2026.05.02
1B6 Fab,RSV A Long,2,0.16,0.756699947,2026.05.02
1B6 Fab,RSV A Long,2,0.032,0.865160273,2026.05.02
1B6 Fab,RSV A Long,2,0.0064,1.09511298,2026.05.02
1B6 Fab,RSV A Long,2,0.00128,0.835312664,2026.05.02
1B6 IgG,RSV B B1,1,6.667,6.39503E-05,2026.05.02
1B6 IgG,RSV B B1,1,1.905,0.000108591,2026.05.02
1B6 IgG,RSV B B1,1,0.5442,0.0014757,2026.05.02
1B6 IgG,RSV B B1,1,0.1555,0.001209295,2026.05.02
1B6 IgG,RSV B B1,1,0.04443,0.101652757,2026.05.02
1B6 IgG,RSV B B1,1,0.01269,0.374734086,2026.05.02
1B6 IgG,RSV B B1,1,0.003627,0.734740632,2026.05.02
1B6 IgG,RSV B B1,1,0.001036,0.886925217,2026.05.02
1B6 IgG,RSV B B1,1,0.0002961,0.86139748,2026.05.02
1B6 IgG,RSV B B1,2,6.667,8.35542E-05,2026.05.02
1B6 IgG,RSV B B1,2,1.905,8.80052E-05,2026.05.02
1B6 IgG,RSV B B1,2,0.5442,0.000165178,2026.05.02
1B6 IgG,RSV B B1,2,0.1555,0.002412698,2026.05.02
1B6 IgG,RSV B B1,2,0.04443,0.115856652,2026.05.02
1B6 IgG,RSV B B1,2,0.01269,0.402880052,2026.05.02
1B6 IgG,RSV B B1,2,0.003627,0.73768614,2026.05.02
1B6 IgG,RSV B B1,2,0.001036,0.906561937,2026.05.02
1B6 IgG,RSV B B1,2,0.0002961,1.157584683,2026.05.02
1B6 Fab,RSV B B1,1,500,0.000104173,2026.05.02
1B6 Fab,RSV B B1,1,100,0.000224251,2026.05.02
1B6 Fab,RSV B B1,1,20,0.000107478,2026.05.02
1B6 Fab,RSV B B1,1,4,0.00026467,2026.05.02
1B6 Fab,RSV B B1,1,0.8,0.007219768,2026.05.02
1B6 Fab,RSV B B1,1,0.16,0.044117166,2026.05.02
1B6 Fab,RSV B B1,1,0.032,0.552773687,2026.05.02
1B6 Fab,RSV B B1,1,0.0064,0.933726068,2026.05.02
1B6 Fab,RSV B B1,1,0.00128,1.094747177,2026.05.02
1B6 Fab,RSV B B1,2,500,8.94125E-05,2026.05.02
1B6 Fab,RSV B B1,2,100,0.000140828,2026.05.02
1B6 Fab,RSV B B1,2,20,0.000135068,2026.05.02
1B6 Fab,RSV B B1,2,4,0.000390443,2026.05.02
1B6 Fab,RSV B B1,2,0.8,0.011804942,2026.05.02
1B6 Fab,RSV B B1,2,0.16,0.112420226,2026.05.02
1B6 Fab,RSV B B1,2,0.032,0.531827851,2026.05.02
1B6 Fab,RSV B B1,2,0.0064,0.878088693,2026.05.02
1B6 Fab,RSV B B1,2,0.00128,0.922925871,2026.05.02
RSM01 IgG ,RSV A Long ,1,6.667,9.81219E-06,2026.06.18
RSM01 IgG,RSV A Long ,1,1.905,4.06254E-05,2026.06.18
RSM01 IgG,RSV A Long ,1,0.5442,0.000117417,2026.06.18
RSM01 IgG,RSV A Long ,1,0.1555,0.000575124,2026.06.18
RSM01 IgG,RSV A Long ,1,0.04443,0.063093551,2026.06.18
RSM01 IgG,RSV A Long ,1,0.01269,0.444365698,2026.06.18
RSM01 IgG,RSV A Long ,1,0.003627,1.220411056,2026.06.18
RSM01 IgG,RSV A Long ,1,0.001036,1.009390503,2026.06.18
RSM01 IgG,RSV A Long ,1,0.0002961,1.037562013,2026.06.18
RSM01 IgG,RSV A Long ,2,6.667,0.000104075,2026.06.18
RSM01 IgG,RSV A Long ,2,1.905,0.000111836,2026.06.18
RSM01 IgG,RSV A Long ,2,0.5442,0.000127091,2026.06.18
RSM01 IgG,RSV A Long ,2,0.1555,0.000410294,2026.06.18
RSM01 IgG,RSV A Long ,2,0.04443,0.029192062,2026.06.18
RSM01 IgG,RSV A Long ,2,0.01269,0.421031184,2026.06.18
RSM01 IgG,RSV A Long ,2,0.003627,1.330439405,2026.06.18
RSM01 IgG,RSV A Long ,2,0.001036,1.322466336,2026.06.18
RSM01 IgG,RSV A Long ,2,0.0002961,1.064138909,2026.06.18
RSM01 Fab,RSV A Long ,1,500,6.37845E-05,2026.06.18
RSM01 Fab,RSV A Long ,1,100,0.000123689,2026.06.18
RSM01 Fab,RSV A Long ,1,20,0.000300797,2026.06.18
RSM01 Fab,RSV A Long ,1,4,0.000721297,2026.06.18
RSM01 Fab,RSV A Long ,1,0.8,0.001893338,2026.06.18
RSM01 Fab,RSV A Long ,1,0.16,0.073671155,2026.06.18
RSM01 Fab,RSV A Long ,1,0.032,0.557051736,2026.06.18
RSM01 Fab,RSV A Long ,1,0.0064,0.764351524,2026.06.18
RSM01 Fab,RSV A Long ,1,0.00128,0.879695252,2026.06.18
RSM01 Fab,RSV A Long ,2,500,5.85223E-05,2026.06.18
RSM01 Fab,RSV A Long ,2,100,8.70659E-05,2026.06.18
RSM01 Fab,RSV A Long ,2,20,0.000118001,2026.06.18
RSM01 Fab,RSV A Long ,2,4,0.000338909,2026.06.18
RSM01 Fab,RSV A Long ,2,0.8,0.003440645,2026.06.18
RSM01 Fab,RSV A Long ,2,0.16,0.032769313,2026.06.18
RSM01 Fab,RSV A Long ,2,0.032,0.549610206,2026.06.18
RSM01 Fab,RSV A Long ,2,0.0064,0.825478384,2026.06.18
RSM01 Fab,RSV A Long ,2,0.00128,1.110382707,2026.06.18
RSM01 IgG ,RSV A B1 ,1,6.667,0.001818045,2026.06.18
RSM01 IgG,RSV A B1 ,1,1.905,0.000161787,2026.06.18
RSM01 IgG,RSV A B1 ,1,0.5442,0.000405371,2026.06.18
RSM01 IgG,RSV A B1 ,1,0.1555,0.126847982,2026.06.18
RSM01 IgG,RSV A B1 ,1,0.04443,0.581215318,2026.06.18
RSM01 IgG,RSV A B1 ,1,0.01269,1.043639104,2026.06.18
RSM01 IgG,RSV A B1 ,1,0.003627,0.951154347,2026.06.18
RSM01 IgG,RSV A B1 ,1,0.001036,0.99184764,2026.06.18
RSM01 IgG,RSV A B1 ,1,0.0002961,1.053504145,2026.06.18
RSM01 IgG,RSV A B1 ,2,6.667,5.10516E-05,2026.06.18
RSM01 IgG,RSV A B1 ,2,1.905,0.000132931,2026.06.18
RSM01 IgG,RSV A B1 ,2,0.5442,0.000291224,2026.06.18
RSM01 IgG,RSV A B1 ,2,0.1555,0.053230116,2026.06.18
RSM01 IgG,RSV A B1 ,2,0.04443,0.728368843,2026.06.18
RSM01 IgG,RSV A B1 ,2,0.01269,1.264780434,2026.06.18
RSM01 IgG,RSV A B1 ,2,0.003627,0.988970336,2026.06.18
RSM01 IgG,RSV A B1 ,2,0.001036,1.051448928,2026.06.18
RSM01 IgG,RSV A B1 ,2,0.0002961,1.33383572,2026.06.18
RSM01 Fab,RSV A B1 ,1,500,7.37823E-05,2026.06.18
RSM01 Fab,RSV A B1 ,1,100,0.000188916,2026.06.18
RSM01 Fab,RSV A B1 ,1,20,0.005618963,2026.06.18
RSM01 Fab,RSV A B1 ,1,4,0.003260396,2026.06.18
RSM01 Fab,RSV A B1 ,1,0.8,0.298253066,2026.06.18
RSM01 Fab,RSV A B1 ,1,0.16,1.454682469,2026.06.18
RSM01 Fab,RSV A B1 ,1,0.032,1.149688292,2026.06.18
RSM01 Fab,RSV A B1 ,1,0.0064,0.969651298,2026.06.18
RSM01 Fab,RSV A B1 ,1,0.00128,1.068301706,2026.06.18
RSM01 Fab,RSV A B1 ,2,500,0.000535178,2026.06.18
RSM01 Fab,RSV A B1 ,2,100,0.000142139,2026.06.18
RSM01 Fab,RSV A B1 ,2,20,0.000269439,2026.06.18
RSM01 Fab,RSV A B1 ,2,4,0.002372131,2026.06.18
RSM01 Fab,RSV A B1 ,2,0.8,0.263478797,2026.06.18
RSM01 Fab,RSV A B1 ,2,0.16,1.496197849,2026.06.18
RSM01 Fab,RSV A B1 ,2,0.032,1.387271357,2026.06.18
RSM01 Fab,RSV A B1 ,2,0.0064,0.926902788,2026.06.18
RSM01 Fab,RSV A B1 ,2,0.00128,1.051037884,2026.06.18
Nirsevimab IgG,RSV A Long ,1,6.667,0.00010895,2026.06.18
Nirsevimab IgG,RSV A Long ,1,1.905,0.000190274,2026.06.18
Nirsevimab IgG,RSV A Long ,1,0.5442,0.000921932,2026.06.18
Nirsevimab IgG,RSV A Long ,1,0.1555,0.000538085,2026.06.18
Nirsevimab IgG,RSV A Long ,1,0.04443,0.061953849,2026.06.18
Nirsevimab IgG,RSV A Long ,1,0.01269,0.41761915,2026.06.18
Nirsevimab IgG,RSV A Long ,1,0.003627,0.566875135,2026.06.18
Nirsevimab IgG,RSV A Long ,1,0.001036,0.853353461,2026.06.18
Nirsevimab IgG,RSV A Long ,1,0.0002961,0.999568687,2026.06.18
Nirsevimab IgG,RSV A Long ,2,6.667,8.38473E-05,2026.06.18
Nirsevimab IgG,RSV A Long ,2,1.905,0.000159543,2026.06.18
Nirsevimab IgG,RSV A Long ,2,0.5442,0.000184386,2026.06.18
Nirsevimab IgG,RSV A Long ,2,0.1555,0.00058609,2026.06.18
Nirsevimab IgG,RSV A Long ,2,0.04443,0.058790166,2026.06.18
Nirsevimab IgG,RSV A Long ,2,0.01269,0.281755445,2026.06.18
Nirsevimab IgG,RSV A Long ,2,0.003627,0.771835238,2026.06.18
Nirsevimab IgG,RSV A Long ,2,0.001036,0.902523183,2026.06.18
Nirsevimab IgG,RSV A Long ,2,0.0002961,1.187189994,2026.06.18
Nirsevimab Fab,RSV A Long ,1,500,0.000123701,2026.06.18
Nirsevimab Fab,RSV A Long ,1,100,0.000112379,2026.06.18
Nirsevimab Fab,RSV A Long ,1,20,0.000115743,2026.06.18
Nirsevimab Fab,RSV A Long ,1,4,0.000193573,2026.06.18
Nirsevimab Fab,RSV A Long ,1,0.8,0.000413414,2026.06.18
Nirsevimab Fab,RSV A Long ,1,0.16,0.048496873,2026.06.18
Nirsevimab Fab,RSV A Long ,1,0.032,0.36993746,2026.06.18
Nirsevimab Fab,RSV A Long ,1,0.0064,0.803536769,2026.06.18
Nirsevimab Fab,RSV A Long ,1,0.00128,0.744015527,2026.06.18
Nirsevimab Fab,RSV A Long ,2,500,0.000171318,2026.06.18
Nirsevimab Fab,RSV A Long ,2,100,0.000149062,2026.06.18
Nirsevimab Fab,RSV A Long ,2,20,0.000187233,2026.06.18
Nirsevimab Fab,RSV A Long ,2,4,0.000306664,2026.06.18
Nirsevimab Fab,RSV A Long ,2,0.8,0.000800949,2026.06.18
Nirsevimab Fab,RSV A Long ,2,0.16,0.027897347,2026.06.18
Nirsevimab Fab,RSV A Long ,2,0.032,0.364826396,2026.06.18
Nirsevimab Fab,RSV A Long ,2,0.0064,0.567522105,2026.06.18
Nirsevimab Fab,RSV A Long ,2,0.00128,0.841061031,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,6.667,0.000145978,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,1.905,0.000342247,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,0.5442,0.000880899,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,0.1555,0.036642697,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,0.04443,0.358966292,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,0.01269,0.565842697,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,0.003627,0.856179775,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,0.001036,0.833258427,2026.06.18
Nirsevimab IgG,RSV A B1 ,1,0.0002961,1.123146067,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,6.667,5.61348E-05,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,1.905,0.000183371,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,0.5442,0.000464719,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,0.1555,0.033649438,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,0.04443,0.15788764,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,0.01269,0.668314607,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,0.003627,0.716853933,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,0.001036,0.985168539,2026.06.18
Nirsevimab IgG,RSV A B1 ,2,0.0002961,0.990561798,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,500,0.000327056,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,100,0.05047191,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,20,0.140179775,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,4,0.429932584,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,0.8,0.62741573,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,0.16,0.921348315,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,0.032,0.962696629,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,0.0064,0.952359551,2026.06.18
Nirsevimab Fab,RSV A B1 ,1,0.00128,0.923146067,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,500,0.000169348,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,100,0.00396764,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,20,0.089797753,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,4,0.408764045,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,0.8,0.706067416,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,0.16,0.824269663,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,0.032,0.94741573,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,0.0064,1.041348315,2026.06.18
Nirsevimab Fab,RSV A B1 ,2,0.00128,1.044044944,2026.06.18
1A2 IgG,RSV A Long ,1,0.6667,0.000315415,2026.06.18
1A2 IgG,RSV A Long ,1,0.190485714,0.000165096,2026.06.18
1A2 IgG,RSV A Long ,1,0.05442449,0.011263288,2026.06.18
1A2 IgG,RSV A Long ,1,0.015549854,0.074309001,2026.06.18
1A2 IgG,RSV A Long ,1,0.004442815,0.383026223,2026.06.18
1A2 IgG,RSV A Long ,1,0.001269376,0.542168675,2026.06.18
1A2 IgG,RSV A Long ,1,0.000362679,1.231573352,2026.06.18
1A2 IgG,RSV A Long ,1,0.000103623,0.875974486,2026.06.18
1A2 IgG,RSV A Long ,1,2.96064E-05,0.727675408,2026.06.18
1A2 IgG,RSV A Long ,2,0.6667,0.000152923,2026.06.18
1A2 IgG,RSV A Long ,2,0.190485714,0.000220588,2026.06.18
1A2 IgG,RSV A Long ,2,0.05442449,0.000799433,2026.06.18
1A2 IgG,RSV A Long ,2,0.015549854,0.069844082,2026.06.18
1A2 IgG,RSV A Long ,2,0.004442815,0.27140326,2026.06.18
1A2 IgG,RSV A Long ,2,0.001269376,0.629340893,2026.06.18
1A2 IgG,RSV A Long ,2,0.000362679,1.066796598,2026.06.18
1A2 IgG,RSV A Long ,2,0.000103623,1.025868179,2026.06.18
1A2 IgG,RSV A Long ,2,2.96064E-05,0.995038979,2026.06.18
1A2 Fab,RSV A Long ,1,20,7.8995E-05,2026.06.18
1A2 Fab,RSV A Long ,1,4,0.000108173,2026.06.18
1A2 Fab,RSV A Long ,1,0.8,0.000128682,2026.06.18
1A2 Fab,RSV A Long ,1,0.16,0.000343412,2026.06.18
1A2 Fab,RSV A Long ,1,0.032,0.012434764,2026.06.18
1A2 Fab,RSV A Long ,1,0.0064,0.059857667,2026.06.18
1A2 Fab,RSV A Long ,1,0.00128,0.402156567,2026.06.18
1A2 Fab,RSV A Long ,1,0.000256,0.81000647,2026.06.18
1A2 Fab,RSV A Long ,1,0.0000512,0.855294371,2026.06.18
1A2 Fab,RSV A Long ,2,20,4.77399E-05,2026.06.18
1A2 Fab,RSV A Long ,2,4,0.000154108,2026.06.18
1A2 Fab,RSV A Long ,2,0.8,0.000109079,2026.06.18
1A2 Fab,RSV A Long ,2,0.16,0.000187427,2026.06.18
1A2 Fab,RSV A Long ,2,0.032,0.000625102,2026.06.18
1A2 Fab,RSV A Long ,2,0.0064,0.102609446,2026.06.18
1A2 Fab,RSV A Long ,2,0.00128,0.572568471,2026.06.18
1A2 Fab,RSV A Long ,2,0.000256,0.80547768,2026.06.18
1A2 Fab,RSV A Long ,2,0.0000512,0.942635325,2026.06.18
1A2 IgG,RSV A B1 ,1,0.6667,0.000167212,2026.06.18
1A2 IgG,RSV A B1 ,1,0.190485714,0.000169679,2026.06.18
1A2 IgG,RSV A B1 ,1,0.05442449,0.000594369,2026.06.18
1A2 IgG,RSV A B1 ,1,0.015549854,0.076947318,2026.06.18
1A2 IgG,RSV A B1 ,1,0.004442815,0.418442146,2026.06.18
1A2 IgG,RSV A B1 ,1,0.001269376,0.69014181,2026.06.18
1A2 IgG,RSV A B1 ,1,0.000362679,0.707816675,2026.06.18
1A2 IgG,RSV A B1 ,1,0.000103623,0.891142015,2026.06.18
1A2 IgG,RSV A B1 ,1,2.96064E-05,1.009111461,2026.06.18
1A2 IgG,RSV A B1 ,2,0.6667,0.000106008,2026.06.18
1A2 IgG,RSV A B1 ,2,0.190485714,0.000101939,2026.06.18
1A2 IgG,RSV A B1 ,2,0.05442449,0.000495718,2026.06.18
1A2 IgG,RSV A B1 ,2,0.015549854,0.067739947,2026.06.18
1A2 IgG,RSV A B1 ,2,0.004442815,0.373227375,2026.06.18
1A2 IgG,RSV A B1 ,2,0.001269376,0.593546619,2026.06.18
1A2 IgG,RSV A B1 ,2,0.000362679,0.982393643,2026.06.18
1A2 IgG,RSV A B1 ,2,0.000103623,0.914571487,2026.06.18
1A2 IgG,RSV A B1 ,2,2.96064E-05,1.147633075,2026.06.18
1A2 Fab,RSV A B1 ,1,20,4.56629E-05,2026.06.18
1A2 Fab,RSV A B1 ,1,4,0.000133843,2026.06.18
1A2 Fab,RSV A B1 ,1,0.8,0.000196,2026.06.18
1A2 Fab,RSV A B1 ,1,0.16,0.000643596,2026.06.18
1A2 Fab,RSV A B1 ,1,0.032,0.0176,2026.06.18
1A2 Fab,RSV A B1 ,1,0.0064,0.237438202,2026.06.18
1A2 Fab,RSV A B1 ,1,0.00128,0.614831461,2026.06.18
1A2 Fab,RSV A B1 ,1,0.000256,0.991910112,2026.06.18
1A2 Fab,RSV A B1 ,1,0.0000512,1.12988764,2026.06.18
1A2 Fab,RSV A B1 ,2,20,0.000106787,2026.06.18
1A2 Fab,RSV A B1 ,2,4,0.00008,2026.06.18
1A2 Fab,RSV A B1 ,2,0.8,0.000138652,2026.06.18
1A2 Fab,RSV A B1 ,2,0.16,0.000381303,2026.06.18
1A2 Fab,RSV A B1 ,2,0.032,0.001986517,2026.06.18
1A2 Fab,RSV A B1 ,2,0.0064,0.270247191,2026.06.18
1A2 Fab,RSV A B1 ,2,0.00128,0.563595506,2026.06.18
1A2 Fab,RSV A B1 ,2,0.000256,0.988314607,2026.06.18
1A2 Fab,RSV A B1 ,2,0.0000512,1.148764045,2026.06.18
